idx,m1,m2,M_total,q,G,r0,v_perp,alpha,omega,dt,n_steps,E0,L0,mu,epsilon,h,e,p,a,r_min,r_max,T_orb,T_norm,r_ratio,orbit_class,orbit_name,dE_max,dE_slope,dL_max,MEGNO,residual_max,residual_mean,e_inst_std,traj_r_mean,traj_r_std,traj_r_min_num,traj_r_max_num,traj_vr_max,traj_vt_mean
50,34.65094502,155.2384368,189.8893818,0.223211118,1,1.88118699,14.21195247,1.414553538,5.764166487,0.006241319,3000,1.374981816,757.35479,28.32785323,0.048538158,26.73534008,1.000961711,3.764183138,,1.88118699,,,,,2,parabolic,0.311644838,0.000249169,1.04E-14,2.164413255,,,1.53E-05,38.55954654,17.4596489,1.882233098,65.38018471,7.11139481,1.160643205
51,2.385926072,495.0779027,497.4638288,0.004819294,1,1.163452982,13.05111182,0.631162482,5.450182838,0.000232648,3000,-813.0456879,36.05498881,2.374482741,-342.409601,15.18435497,0.601633921,0.463480202,0.726416297,0.289379612,1.163452982,0.17441245,3.099809329,0.248724801,1,elliptical,0.000511962,1.40E-07,9.66E-15,0.373202375,2.890189906,1.937268888,4.89E-05,0.858025423,0.279671924,0.289430209,1.163452975,19.71075036,20.89885197
52,0.801237463,330.2793883,331.0806258,0.002425938,1,10.37275502,6.713356528,1.188283013,5.89684141,0.061200228,3000,-7.500387945,55.65994647,0.799298414,-9.383714281,69.63600262,0.412016519,14.64650144,17.64123544,10.37275502,24.90971585,25.58624055,13.93580885,0.416414024,1,elliptical,0.000288281,-4.73E-08,2.68E-15,2.187656158,0.318548244,0.197319128,7.44E-05,19.00310432,4.957333208,10.37275504,24.92194041,1.960225501,3.981503517
53,20.86588216,545.8381171,566.7039993,0.038227235,1,9.310420948,11.03558133,1.414496039,5.155390891,0.039779066,3000,0.488733597,2064.946794,20.09760624,0.024318,102.7459076,1.000799044,18.62828134,,9.310420948,,,,,2,parabolic,0.375043026,4.71E-05,1.01E-14,2.114038391,,,1.53E-05,190.7574511,86.35602697,9.315597535,323.3898037,5.521549426,0.901445749
54,0.084773938,37.56043848,37.64521242,0.002257001,1,2.0421403,5.34587077,1.24510612,3.159656415,0.015854488,3000,-0.350599028,0.923394513,0.084583034,-4.145027817,10.91701814,0.55028925,3.165908155,4.541008419,2.0421403,7.039876537,9.909539038,20.83435046,0.290081834,1,elliptical,0.000444447,2.07E-07,3.13E-15,2.100313458,2.449364296,1.668156413,5.31E-05,5.305775353,1.609237612,2.042151912,7.044169752,1.898526724,2.359783704
55,11.51249741,50.17592658,61.68842399,0.229442647,1,15.41843946,2.567122477,1.283408649,1.550219231,0.1,3000,-6.609973494,370.6365808,9.363997125,-0.705892303,39.5810225,0.64713776,25.39629383,43.69535108,15.41843946,71.97226269,231.0632515,29.97589013,0.214227522,1,elliptical,9.49E-05,-1.94E-09,4.14E-15,-0.090776683,3.060155326,1.886559306,7.10E-06,50.32678624,17.78959702,15.41844182,71.98060981,1.008651314,0.957115817
56,0.407546692,110.8119687,111.2195154,0.003677822,1,10.8298146,4.532908418,1.414480473,6.035792964,0.1,3000,0.00157422,19.933383,0.4060533,0.00387688,49.09055778,1.000755009,21.66780582,,10.8298146,,,,,2,parabolic,0.312757259,1.78E-05,2.03E-14,2.35153632,,,1.29E-05,204.1703619,92.59267475,10.83455961,346.4538777,2.267826703,0.400065552
57,323.8324314,361.2139762,685.0464077,0.896511355,1,2.870968895,15.08319234,0.976444393,4.01007685,0.005387163,3000,-21320.0893,7394.12264,170.7516438,-124.8602287,43.30337603,0.046556347,2.737307071,2.743253054,2.615537214,2.870968895,1.090733567,5.868619396,0.91102945,1,elliptical,4.52E-05,-7.67E-08,2.09E-15,1.9781449,0.041282825,0.025999845,0.000171192,2.745559107,0.089649017,2.616755094,2.870968799,0.733187689,15.78901059
58,0.261400852,15.14196562,15.40336647,0.017263337,1,13.77534737,1.495770475,1.414517784,1.784747021,0.1,3000,0.000123634,5.294697123,0.256964782,0.000481133,20.60475788,1.000860561,27.56254928,,13.77534737,,,,,2,parabolic,0.018461829,4.56E-06,6.04E-15,1.769491515,,,1.72E-06,99.73762487,45.87650484,13.77575359,171.6134554,0.748218301,0.310303023
59,27.13104853,31.15522977,58.28627829,0.870834487,1,14.10908401,2.329970976,1.14634874,1.893251644,0.1,3000,-20.5456437,476.7388466,14.50211054,-1.416734733,32.87375623,0.314115434,18.54096505,20.57063928,14.10908401,27.03219456,76.78358558,11.06122744,0.521936315,1,elliptical,4.04E-05,1.09E-08,5.60E-15,2.286747026,0.767011541,0.498886656,1.61E-05,21.7485109,4.381326326,14.10909056,27.03447632,0.557028577,1.583090658
